appid,name,release_date,required_age,price,dlc_count,categories,genres,user_score,positive,negative,tags,review_text,explicit_expectations,has_explicit,expectations,dominant_aspect,dominant_sentiment
292030,The Witcher 3: Wild Hunt,2015-05-18,17,39.99,22,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['RPG'],0,791139,31979,"{'Open World': 12704, 'RPG': 10744, 'Story Rich': 9941, 'Atmospheric': 6852, 'Mature': 6780, 'Fantasy': 6537, 'Adventure': 6423, 'Singleplayer': 6228, 'Nudity': 6046, 'Choices Matter': 5754, 'Great Soundtrack': 4711, 'Third Person': 4677, 'Medieval': 4545, 'Action': 4392, 'Multiple Endings': 3940, 'Action RPG': 3884, 'Dark Fantasy': 3699, 'Magic': 3693, 'Dark': 2205, 'Sandbox': 1326}",ONE OF THE BEST GAMES EVER MADE,[],False,[],,
292030,The Witcher 3: Wild Hunt,2015-05-18,17,39.99,22,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['RPG'],0,791139,31979,"{'Open World': 12704, 'RPG': 10744, 'Story Rich': 9941, 'Atmospheric': 6852, 'Mature': 6780, 'Fantasy': 6537, 'Adventure': 6423, 'Singleplayer': 6228, 'Nudity': 6046, 'Choices Matter': 5754, 'Great Soundtrack': 4711, 'Third Person': 4677, 'Medieval': 4545, 'Action': 4392, 'Multiple Endings': 3940, 'Action RPG': 3884, 'Dark Fantasy': 3699, 'Magic': 3693, 'Dark': 2205, 'Sandbox': 1326}",AMAZING,[],False,[],,
292030,The Witcher 3: Wild Hunt,2015-05-18,17,39.99,22,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['RPG'],0,791139,31979,"{'Open World': 12704, 'RPG': 10744, 'Story Rich': 9941, 'Atmospheric': 6852, 'Mature': 6780, 'Fantasy': 6537, 'Adventure': 6423, 'Singleplayer': 6228, 'Nudity': 6046, 'Choices Matter': 5754, 'Great Soundtrack': 4711, 'Third Person': 4677, 'Medieval': 4545, 'Action': 4392, 'Multiple Endings': 3940, 'Action RPG': 3884, 'Dark Fantasy': 3699, 'Magic': 3693, 'Dark': 2205, 'Sandbox': 1326}",ONE OF THE BEST RPGs EVER MADE,[],False,[],,
1245620,ELDEN RING,2022-02-24,16,59.99,2,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Action', 'RPG']",0,956144,73714,"{'Souls-like': 6823, 'Open World': 4941, 'Dark Fantasy': 4868, 'RPG': 4617, 'Difficult': 4500, 'Action RPG': 3521, 'Third Person': 3355, 'Multiplayer': 3322, 'Fantasy': 3175, 'Singleplayer': 3066, 'Online Co-Op': 2969, 'Action': 2791, 'Co-op': 2403, 'Atmospheric': 2352, 'PvP': 2332, 'Great Soundtrack': 2309, 'Violent': 2245, '3D': 2035, 'Character Customization': 1298, 'Family Friendly': 1293}",Put a ring on it.,[],False,[],,
1245620,ELDEN RING,2022-02-24,16,59.99,2,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Action', 'RPG']",0,956144,73714,"{'Souls-like': 6823, 'Open World': 4941, 'Dark Fantasy': 4868, 'RPG': 4617, 'Difficult': 4500, 'Action RPG': 3521, 'Third Person': 3355, 'Multiplayer': 3322, 'Fantasy': 3175, 'Singleplayer': 3066, 'Online Co-Op': 2969, 'Action': 2791, 'Co-op': 2403, 'Atmospheric': 2352, 'PvP': 2332, 'Great Soundtrack': 2309, 'Violent': 2245, '3D': 2035, 'Character Customization': 1298, 'Family Friendly': 1293}",An unmissable open-world masterpiece.,[],True,[],,
1245620,ELDEN RING,2022-02-24,16,59.99,2,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Action', 'RPG']",0,956144,73714,"{'Souls-like': 6823, 'Open World': 4941, 'Dark Fantasy': 4868, 'RPG': 4617, 'Difficult': 4500, 'Action RPG': 3521, 'Third Person': 3355, 'Multiplayer': 3322, 'Fantasy': 3175, 'Singleplayer': 3066, 'Online Co-Op': 2969, 'Action': 2791, 'Co-op': 2403, 'Atmospheric': 2352, 'PvP': 2332, 'Great Soundtrack': 2309, 'Violent': 2245, '3D': 2035, 'Character Customization': 1298, 'Family Friendly': 1293}",Exploration is jaw dropping.,[],False,[],,
413150,Stardew Valley,2016-02-26,0,14.99,1,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Indie', 'RPG', 'Simulation']",0,841413,13440,"{'Farming Sim': 7706, 'Pixel Graphics': 7169, 'Multiplayer': 7088, 'Life Sim': 7083, 'RPG': 6396, 'Relaxing': 6108, 'Agriculture': 5247, 'Simulation': 5198, 'Crafting': 4386, 'Sandbox': 4284, 'Indie': 4181, 'Building': 3535, 'Singleplayer': 3275, 'Casual': 3274, 'Open World': 3241, '2D': 2935, 'Cute': 2747, 'Dating Sim': 2724, 'Great Soundtrack': 2521, 'Fishing': 2220}","Far more than just a farming game, this one-man labor of love is filled with seemingly endless content and heart.","[{'expectation': 'seemingly endless content', 'aspect': 'value'}, {'expectation': 'endless content', 'aspect': 'value'}]",True,"[{'aspect': 'value', 'sentiment': 'positive'}, {'aspect': 'value', 'sentiment': 'positive'}]",value,positive
413150,Stardew Valley,2016-02-26,0,14.99,1,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Indie', 'RPG', 'Simulation']",0,841413,13440,"{'Farming Sim': 7706, 'Pixel Graphics': 7169, 'Multiplayer': 7088, 'Life Sim': 7083, 'RPG': 6396, 'Relaxing': 6108, 'Agriculture': 5247, 'Simulation': 5198, 'Crafting': 4386, 'Sandbox': 4284, 'Indie': 4181, 'Building': 3535, 'Singleplayer': 3275, 'Casual': 3274, 'Open World': 3241, '2D': 2935, 'Cute': 2747, 'Dating Sim': 2724, 'Great Soundtrack': 2521, 'Fishing': 2220}",The core mechanics and relaxing aesthetic merge so well together that players will sink in to the experience and never want to leave.,"[{'expectation': 'aesthetic merge', 'aspect': 'graphics'}]",True,"[{'aspect': 'graphics', 'sentiment': 'positive'}]",graphics,positive
413150,Stardew Valley,2016-02-26,0,14.99,1,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Indie', 'RPG', 'Simulation']",0,841413,13440,"{'Farming Sim': 7706, 'Pixel Graphics': 7169, 'Multiplayer': 7088, 'Life Sim': 7083, 'RPG': 6396, 'Relaxing': 6108, 'Agriculture': 5247, 'Simulation': 5198, 'Crafting': 4386, 'Sandbox': 4284, 'Indie': 4181, 'Building': 3535, 'Singleplayer': 3275, 'Casual': 3274, 'Open World': 3241, '2D': 2935, 'Cute': 2747, 'Dating Sim': 2724, 'Great Soundtrack': 2521, 'Fishing': 2220}",Stardew Valley has been the most rich and heartwarming experience I’ve had in a game in years.,[],False,[],,
227300,Euro Truck Simulator 2,2012-10-12,0,19.99,98,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Indie', 'Simulation']",0,825685,22349,"{'Driving': 12858, 'Transportation': 12635, 'Simulation': 12592, 'Open World': 12511, 'Automobile Sim': 12402, 'Realistic': 12387, 'Moddable': 12258, 'Relaxing': 12157, 'Exploration': 12017, 'Immersive Sim': 11983, 'Economy': 11983, 'Management': 11945, 'Atmospheric': 11910, 'Multiplayer': 4964, 'Controller': 3990, 'Family Friendly': 3889, 'Third Person': 3878, 'Adventure': 3841, 'Casual': 3838, 'Indie': 3799}",Unexpectedly engrossing. Heed the mockers and you'll miss one of the PC's finest and freshest driving games.,"[{'expectation': 'freshest driving', 'aspect': 'innovation'}]",True,"[{'aspect': 'innovation', 'sentiment': 'positive'}]",innovation,positive
227300,Euro Truck Simulator 2,2012-10-12,0,19.99,98,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Indie', 'Simulation']",0,825685,22349,"{'Driving': 12858, 'Transportation': 12635, 'Simulation': 12592, 'Open World': 12511, 'Automobile Sim': 12402, 'Realistic': 12387, 'Moddable': 12258, 'Relaxing': 12157, 'Exploration': 12017, 'Immersive Sim': 11983, 'Economy': 11983, 'Management': 11945, 'Atmospheric': 11910, 'Multiplayer': 4964, 'Controller': 3990, 'Family Friendly': 3889, 'Third Person': 3878, 'Adventure': 3841, 'Casual': 3838, 'Indie': 3799}","With its stellar gameplay and presentation, Euro Truck Simulator 2 set a new standard for the simulation genre.","[{'expectation': 'stellar gameplay', 'aspect': 'gameplay'}]",True,"[{'aspect': 'gameplay', 'sentiment': 'positive'}]",gameplay,positive
227300,Euro Truck Simulator 2,2012-10-12,0,19.99,98,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Indie', 'Simulation']",0,825685,22349,"{'Driving': 12858, 'Transportation': 12635, 'Simulation': 12592, 'Open World': 12511, 'Automobile Sim': 12402, 'Realistic': 12387, 'Moddable': 12258, 'Relaxing': 12157, 'Exploration': 12017, 'Immersive Sim': 11983, 'Economy': 11983, 'Management': 11945, 'Atmospheric': 11910, 'Multiplayer': 4964, 'Controller': 3990, 'Family Friendly': 3889, 'Third Person': 3878, 'Adventure': 3841, 'Casual': 3838, 'Indie': 3799}","There are titles in the simulation market which can be sold on the novelty factor alone, but tend to be disappointing games. Euro Truck Simulator 2 is not one of them, it is strangely cathartic, engaging and relaxing.","[{'expectation': 'disappointing games', 'aspect': 'gameplay'}]",True,"[{'aspect': 'gameplay', 'sentiment': 'positive'}]",gameplay,positive
227300,Euro Truck Simulator 2,2012-10-12,0,19.99,98,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Indie', 'Simulation']",0,825685,22349,"{'Driving': 12858, 'Transportation': 12635, 'Simulation': 12592, 'Open World': 12511, 'Automobile Sim': 12402, 'Realistic': 12387, 'Moddable': 12258, 'Relaxing': 12157, 'Exploration': 12017, 'Immersive Sim': 11983, 'Economy': 11983, 'Management': 11945, 'Atmospheric': 11910, 'Multiplayer': 4964, 'Controller': 3990, 'Family Friendly': 3889, 'Third Person': 3878, 'Adventure': 3841, 'Casual': 3838, 'Indie': 3799}","Roses are red, violets are blue, the best open world game is Euro Truck Simulator 2.","[{'expectation': 'open world', 'aspect': 'story'}, {'expectation': 'open world game', 'aspect': 'story'}]",True,"[{'aspect': 'story', 'sentiment': 'neutral'}, {'aspect': 'story', 'sentiment': 'neutral'}]",story,neutral
739630,Phasmophobia,2020-09-18,0,19.99,0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Indie', 'Early Access']",0,723620,31340,"{'Horror': 4333, 'Online Co-Op': 2889, 'Multiplayer': 2625, 'Psychological Horror': 2066, 'Co-op': 1812, 'VR': 1536, 'Supernatural': 1524, 'First-Person': 1409, 'Investigation': 1321, 'Dark': 1002, 'Demons': 932, 'Detective': 922, 'Mystery': 873, 'Thriller': 647, '3D': 643, 'Early Access': 619, 'Indie': 564, 'Action': 476, 'Tactical': 466, 'Singleplayer': 366}",A truly terrifying psychological online co-op ghost hunting experience,[],True,[],,
739630,Phasmophobia,2020-09-18,0,19.99,0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Indie', 'Early Access']",0,723620,31340,"{'Horror': 4333, 'Online Co-Op': 2889, 'Multiplayer': 2625, 'Psychological Horror': 2066, 'Co-op': 1812, 'VR': 1536, 'Supernatural': 1524, 'First-Person': 1409, 'Investigation': 1321, 'Dark': 1002, 'Demons': 932, 'Detective': 922, 'Mystery': 873, 'Thriller': 647, '3D': 643, 'Early Access': 619, 'Indie': 564, 'Action': 476, 'Tactical': 466, 'Singleplayer': 366}",Phasmophobia has certainly possessed a lot of players,"[{'expectation': 'lot of players', 'aspect': 'community'}]",True,"[{'aspect': 'community', 'sentiment': 'neutral'}]",community,neutral
739630,Phasmophobia,2020-09-18,0,19.99,0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Indie', 'Early Access']",0,723620,31340,"{'Horror': 4333, 'Online Co-Op': 2889, 'Multiplayer': 2625, 'Psychological Horror': 2066, 'Co-op': 1812, 'VR': 1536, 'Supernatural': 1524, 'First-Person': 1409, 'Investigation': 1321, 'Dark': 1002, 'Demons': 932, 'Detective': 922, 'Mystery': 873, 'Thriller': 647, '3D': 643, 'Early Access': 619, 'Indie': 564, 'Action': 476, 'Tactical': 466, 'Singleplayer': 366}",Phasmophobia Is a New Steam and Twitch Sensation,[],False,[],,
945360,Among Us,2018-11-16,0,2.99,0,"['Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Casual'],0,640795,56840,"{'Multiplayer': 1935, 'Social Deduction': 1333, 'Online Co-Op': 1333, 'Space': 1254, 'Survival': 1039, '2D': 1011, 'Funny': 974, 'Psychological': 862, 'Party Game': 846, 'Co-op': 841, 'Cartoony': 757, 'Local Multiplayer': 740, 'Casual': 694, 'Action': 673, 'PvP': 671, 'Sci-fi': 670, 'Colorful': 663, 'Top-Down': 663, 'Minigames': 661, 'Aliens': 658}",Made friends from it and probably will lose them all because of it at some point.,[],False,[],,
945360,Among Us,2018-11-16,0,2.99,0,"['Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Casual'],0,640795,56840,"{'Multiplayer': 1935, 'Social Deduction': 1333, 'Online Co-Op': 1333, 'Space': 1254, 'Survival': 1039, '2D': 1011, 'Funny': 974, 'Psychological': 862, 'Party Game': 846, 'Co-op': 841, 'Cartoony': 757, 'Local Multiplayer': 740, 'Casual': 694, 'Action': 673, 'PvP': 671, 'Sci-fi': 670, 'Colorful': 663, 'Top-Down': 663, 'Minigames': 661, 'Aliens': 658}",Love the fact that they only have one bone.,[],False,[],,
945360,Among Us,2018-11-16,0,2.99,0,"['Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Casual'],0,640795,56840,"{'Multiplayer': 1935, 'Social Deduction': 1333, 'Online Co-Op': 1333, 'Space': 1254, 'Survival': 1039, '2D': 1011, 'Funny': 974, 'Psychological': 862, 'Party Game': 846, 'Co-op': 841, 'Cartoony': 757, 'Local Multiplayer': 740, 'Casual': 694, 'Action': 673, 'PvP': 671, 'Sci-fi': 670, 'Colorful': 663, 'Top-Down': 663, 'Minigames': 661, 'Aliens': 658}",Among Us is a game.,[],False,[],,
242760,The Forest,2018-04-30,0,19.99,0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Simulation']",0,588185,27459,"{'Open World Survival Craft': 12488, 'Survival': 12107, 'Open World': 8815, 'Horror': 8778, 'Crafting': 6519, 'Adventure': 5679, 'Building': 5598, 'Survival Horror': 5308, 'First-Person': 4664, 'Action': 3784, 'Exploration': 3677, 'Sandbox': 3354, 'Singleplayer': 2977, 'Atmospheric': 2796, 'Simulation': 2590, 'Gore': 2519, 'Realistic': 2440, 'Indie': 2288, 'Zombies': 1737, 'Early Access': 1602}",The Forest looks brilliant,[],False,[],,
