Unnamed: 0,appid,name,release_date,required_age,price,dlc_count,categories,genres,user_score,positive,negative,tags,review_text,explicit_expectations,has_explicit,expectations,ABSA_expectations,dominant_aspect,dominant_sentiment
26,945360,Among Us,2018-11-16,0,2.99,0,"['Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Casual'],0,640795,56840,"{'Multiplayer': 1935, 'Social Deduction': 1333, 'Online Co-Op': 1333, 'Space': 1254, 'Survival': 1039, '2D': 1011, 'Funny': 974, 'Psychological': 862, 'Party Game': 846, 'Co-op': 841, 'Cartoony': 757, 'Local Multiplayer': 740, 'Casual': 694, 'Action': 673, 'PvP': 671, 'Sci-fi': 670, 'Colorful': 663, 'Top-Down': 663, 'Minigames': 661, 'Aliens': 658}",Made friends from it and probably will lose them all because of it at some point.,[],False,"[{'expectation': 'friends', 'aspect': 'community'}]","[{'aspect': 'community', 'sentiment': 'positive'}]",community,positive
27,945360,Among Us,2018-11-16,0,2.99,0,"['Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Casual'],0,640795,56840,"{'Multiplayer': 1935, 'Social Deduction': 1333, 'Online Co-Op': 1333, 'Space': 1254, 'Survival': 1039, '2D': 1011, 'Funny': 974, 'Psychological': 862, 'Party Game': 846, 'Co-op': 841, 'Cartoony': 757, 'Local Multiplayer': 740, 'Casual': 694, 'Action': 673, 'PvP': 671, 'Sci-fi': 670, 'Colorful': 663, 'Top-Down': 663, 'Minigames': 661, 'Aliens': 658}",Love the fact that they only have one bone.,[],False,"[{'expectation': 'one bone', 'aspect': 'story'}]","[{'aspect': 'story', 'sentiment': 'neutral'}]",story,neutral
28,945360,Among Us,2018-11-16,0,2.99,0,"['Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Casual'],0,640795,56840,"{'Multiplayer': 1935, 'Social Deduction': 1333, 'Online Co-Op': 1333, 'Space': 1254, 'Survival': 1039, '2D': 1011, 'Funny': 974, 'Psychological': 862, 'Party Game': 846, 'Co-op': 841, 'Cartoony': 757, 'Local Multiplayer': 740, 'Casual': 694, 'Action': 673, 'PvP': 671, 'Sci-fi': 670, 'Colorful': 663, 'Top-Down': 663, 'Minigames': 661, 'Aliens': 658}",Among Us is a game.,[],False,"[{'expectation': 'game', 'aspect': 'gameplay'}]","[{'aspect': 'gameplay', 'sentiment': 'neutral'}]",gameplay,neutral
29,242760,The Forest,2018-04-30,0,19.99,0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Simulation']",0,588185,27459,"{'Open World Survival Craft': 12488, 'Survival': 12107, 'Open World': 8815, 'Horror': 8778, 'Crafting': 6519, 'Adventure': 5679, 'Building': 5598, 'Survival Horror': 5308, 'First-Person': 4664, 'Action': 3784, 'Exploration': 3677, 'Sandbox': 3354, 'Singleplayer': 2977, 'Atmospheric': 2796, 'Simulation': 2590, 'Gore': 2519, 'Realistic': 2440, 'Indie': 2288, 'Zombies': 1737, 'Early Access': 1602}",The Forest looks brilliant,[],False,"[{'expectation': 'brilliant looks', 'aspect': 'graphics'}]","[{'aspect': 'graphics', 'sentiment': 'positive'}]",graphics,positive
30,242760,The Forest,2018-04-30,0,19.99,0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Simulation']",0,588185,27459,"{'Open World Survival Craft': 12488, 'Survival': 12107, 'Open World': 8815, 'Horror': 8778, 'Crafting': 6519, 'Adventure': 5679, 'Building': 5598, 'Survival Horror': 5308, 'First-Person': 4664, 'Action': 3784, 'Exploration': 3677, 'Sandbox': 3354, 'Singleplayer': 2977, 'Atmospheric': 2796, 'Simulation': 2590, 'Gore': 2519, 'Realistic': 2440, 'Indie': 2288, 'Zombies': 1737, 'Early Access': 1602}",It’s an exciting time to be a PC gamer when a team of just four people can create something this impressive.,[],False,"[{'expectation': 'PC gamer', 'aspect': 'gameplay'}, {'expectation': 'team of just four people', 'aspect': 'community'}, {'expectation': 'creative thing', 'aspect': 'innovation'}]","[{'aspect': 'gameplay', 'sentiment': 'positive'}, {'aspect': 'community', 'sentiment': 'positive'}, {'aspect': 'innovation', 'sentiment': 'positive'}]",gameplay,positive
34,322170,Geometry Dash,2014-12-22,0,4.99,0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Indie']",0,375145,26270,"{'Difficult': 3733, 'Music': 2945, 'Level Editor': 2851, 'Great Soundtrack': 2818, 'Precision Platformer': 2780, '2D': 2776, 'Rhythm': 2749, 'Singleplayer': 2043, 'Colorful': 2005, 'Platformer': 1966, 'Character Customization': 1814, 'Indie': 1145, 'Arcade': 1115, 'Side Scroller': 1104, 'Family Friendly': 818, 'Action': 791, 'Funny': 787, 'Casual': 724, 'Strategy': 490, 'Adventure': 471}",Frustratingly wonderful,[],False,"[{'expectation': 'frustratingly wonderful', 'aspect': 'graphics'}]","[{'aspect': 'graphics', 'sentiment': 'positive'}]",graphics,positive
35,322170,Geometry Dash,2014-12-22,0,4.99,0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Indie']",0,375145,26270,"{'Difficult': 3733, 'Music': 2945, 'Level Editor': 2851, 'Great Soundtrack': 2818, 'Precision Platformer': 2780, '2D': 2776, 'Rhythm': 2749, 'Singleplayer': 2043, 'Colorful': 2005, 'Platformer': 1966, 'Character Customization': 1814, 'Indie': 1145, 'Arcade': 1115, 'Side Scroller': 1104, 'Family Friendly': 818, 'Action': 791, 'Funny': 787, 'Casual': 724, 'Strategy': 490, 'Adventure': 471}","Geometry Dash is a fast-paced platformer that will leave you screaming in frustration, but you’ll keep coming back for more.",[],False,"[{'expectation': 'few steps', 'aspect': 'progression'}, {'expectation': 'rising in frustration', 'aspect': 'frustration'}]","[{'aspect': 'progression', 'sentiment': 'negative'}, {'aspect': 'frustration', 'sentiment': 'negative'}]",progression,negative
39,367520,Hollow Knight,2017-02-24,0,14.99,2,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie']",0,388369,11795,"{'Metroidvania': 5452, 'Souls-like': 4227, 'Platformer': 4130, 'Great Soundtrack': 4019, 'Difficult': 3920, '2D': 3917, 'Indie': 3688, 'Singleplayer': 3144, 'Atmospheric': 3081, 'Exploration': 3058, 'Adventure': 2805, 'Story Rich': 2729, 'Hand-drawn': 2075, 'Multiple Endings': 2015, 'Action': 2007, 'Dark Fantasy': 1869, 'Open World': 1740, 'Cute': 1621, 'Controller': 1299, 'Side Scroller': 1237}","Best Platformer 2017 - The joy of Hollow Knight is the joy of discovery, always hard-earned, never handed to you.",[],False,"[{'expectation': 'joy of discovery', 'aspect': 'innovation'}]","[{'aspect': 'innovation', 'sentiment': 'neutral'}]",innovation,neutral
40,239140,Dying Light,2025-01-27,17,19.99,41,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'RPG']",0,428753,21594,"{'Zombies': 6010, 'Survival Horror': 5732, 'Horror': 5559, 'Online Co-Op': 4998, 'Open World': 4790, 'Parkour': 4700, 'First-Person': 4385, 'Survival': 4297, 'Open World Survival Craft': 4260, 'Gore': 4246, 'FPS': 4230, 'Action': 4213, 'PvE': 4069, 'Stealth': 4023, 'PvP': 4013, 'Post-apocalyptic': 3899, 'Multiplayer': 3898, 'Story Rich': 3873, 'Action RPG': 3624, 'Hack and Slash': 3621}","Dying Light gradually and gratifyingly evolves into a fast, hyper-violent celebration of vertical freedom and zombie destruction.",[],False,"[{'expectation': 'violent celebration', 'aspect': 'performance'}, {'expectation': 'zombie destruction', 'aspect': 'gameplay'}]","[{'aspect': 'performance', 'sentiment': 'positive'}, {'aspect': 'gameplay', 'sentiment': 'positive'}]",performance,positive
41,239140,Dying Light,2025-01-27,17,19.99,41,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'RPG']",0,428753,21594,"{'Zombies': 6010, 'Survival Horror': 5732, 'Horror': 5559, 'Online Co-Op': 4998, 'Open World': 4790, 'Parkour': 4700, 'First-Person': 4385, 'Survival': 4297, 'Open World Survival Craft': 4260, 'Gore': 4246, 'FPS': 4230, 'Action': 4213, 'PvE': 4069, 'Stealth': 4023, 'PvP': 4013, 'Post-apocalyptic': 3899, 'Multiplayer': 3898, 'Story Rich': 3873, 'Action RPG': 3624, 'Hack and Slash': 3621}",A thrilling zombie adventure that makes me remember what I loved about Dead Island and forget what I hated.,[],False,"[{'expectation': 'loved', 'aspect': 'value'}, {'expectation': 'hated', 'aspect': 'performance'}]","[{'aspect': 'value', 'sentiment': 'positive'}, {'aspect': 'performance', 'sentiment': 'positive'}]",value,positive
43,582010,Monster Hunter: World,2018-08-08,0,29.99,200,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Tablet', 'HDR available', 'Family Sharing']",['Action'],0,427283,58615,"{'Co-op': 2957, 'Multiplayer': 2761, 'Action': 2525, 'Open World': 2015, 'RPG': 1892, 'Character Customization': 1559, 'Third Person': 1524, 'Adventure': 1338, 'Fantasy': 1278, 'Difficult': 1149, 'Action RPG': 1148, 'Singleplayer': 1112, 'Exploration': 969, 'Great Soundtrack': 846, 'Replay Value': 841, 'Atmospheric': 668, 'Hack and Slash': 617, 'JRPG': 574, 'MMORPG': 357, 'Souls-like': 315}",This beautifully implemented port is a perfect PC introduction to the joys of Monster Hunter,[],False,"[{'expectation': 'perfect PC', 'aspect': 'performance'}, {'expectation': 'introduction to the joys', 'aspect': 'joy'}]","[{'aspect': 'performance', 'sentiment': 'positive'}, {'aspect': 'joy', 'sentiment': 'positive'}]",performance,positive
44,582010,Monster Hunter: World,2018-08-08,0,29.99,200,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Tablet', 'HDR available', 'Family Sharing']",['Action'],0,427283,58615,"{'Co-op': 2957, 'Multiplayer': 2761, 'Action': 2525, 'Open World': 2015, 'RPG': 1892, 'Character Customization': 1559, 'Third Person': 1524, 'Adventure': 1338, 'Fantasy': 1278, 'Difficult': 1149, 'Action RPG': 1148, 'Singleplayer': 1112, 'Exploration': 969, 'Great Soundtrack': 846, 'Replay Value': 841, 'Atmospheric': 668, 'Hack and Slash': 617, 'JRPG': 574, 'MMORPG': 357, 'Souls-like': 315}",Monster Hunter: World’s thrilling fights with fantastic beasts never get old,[],False,"[{'expectation': 'fantastic beasts', 'aspect': 'gameplay'}]","[{'aspect': 'gameplay', 'sentiment': 'neutral'}]",gameplay,neutral
45,582010,Monster Hunter: World,2018-08-08,0,29.99,200,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Tablet', 'HDR available', 'Family Sharing']",['Action'],0,427283,58615,"{'Co-op': 2957, 'Multiplayer': 2761, 'Action': 2525, 'Open World': 2015, 'RPG': 1892, 'Character Customization': 1559, 'Third Person': 1524, 'Adventure': 1338, 'Fantasy': 1278, 'Difficult': 1149, 'Action RPG': 1148, 'Singleplayer': 1112, 'Exploration': 969, 'Great Soundtrack': 846, 'Replay Value': 841, 'Atmospheric': 668, 'Hack and Slash': 617, 'JRPG': 574, 'MMORPG': 357, 'Souls-like': 315}",This is absolutely a buy,[],False,"[{'expectation': 'buy', 'aspect': 'value'}]","[{'aspect': 'value', 'sentiment': 'positive'}]",value,positive
46,284160,BeamNG.drive,2015-05-29,0,24.99,0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Racing', 'Simulation', 'Early Access']",0,299119,7884,"{'Simulation': 3165, 'Driving': 3093, 'Realistic': 2912, 'Physics': 2911, 'Destruction': 2908, 'Automobile Sim': 2762, 'Sandbox': 2423, 'Open World': 2422, 'Racing': 2179, 'Moddable': 2047, 'Multiplayer': 1888, 'Singleplayer': 1629, 'Early Access': 1332, 'First-Person': 1192, 'Third Person': 1159, 'Exploration': 1118, 'Funny': 1116, 'Action': 1097, 'Adventure': 1092, 'Flight': 973}",The Most Impressive Physics Engine You've Never Seen,[],False,"[{'expectation': 'most Impressive Physics Engine', 'aspect': 'gameplay'}]","[{'aspect': 'gameplay', 'sentiment': 'positive'}]",gameplay,positive
48,284160,BeamNG.drive,2015-05-29,0,24.99,0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Racing', 'Simulation', 'Early Access']",0,299119,7884,"{'Simulation': 3165, 'Driving': 3093, 'Realistic': 2912, 'Physics': 2911, 'Destruction': 2908, 'Automobile Sim': 2762, 'Sandbox': 2423, 'Open World': 2422, 'Racing': 2179, 'Moddable': 2047, 'Multiplayer': 1888, 'Singleplayer': 1629, 'Early Access': 1332, 'First-Person': 1192, 'Third Person': 1159, 'Exploration': 1118, 'Funny': 1116, 'Action': 1097, 'Adventure': 1092, 'Flight': 973}",Amazing Car Crashes + Hilarious Greenlight Trailer = Magic,[],False,"[{'expectation': 'Amazing Car Crashes', 'aspect': 'performance'}, {'expectation': 'Greenlight Trailer', 'aspect': 'gameplay'}]","[{'aspect': 'performance', 'sentiment': 'positive'}, {'aspect': 'gameplay', 'sentiment': 'positive'}]",performance,positive
51,1203220,NARAKA: BLADEPOINT,2021-08-11,0,0.0,7,"['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'HDR available']","['Action', 'Adventure', 'Massively Multiplayer']",0,222830,94311,"{'Battle Royale': 1103, 'Multiplayer': 1078, 'Martial Arts': 964, 'PvP': 923, 'Mature': 917, 'Action': 894, 'Female Protagonist': 889, 'Character Customization': 878, 'Massively Multiplayer': 858, 'Survival': 856, 'Fighting': 856, 'Third Person': 846, 'Swordplay': 820, 'Hack and Slash': 814, 'Anime': 771, 'Parkour': 736, 'Adventure': 720, 'Free to Play': 616, 'Violent': 375, 'Gore': 288}","NARAKA BLADEPOINT remains a wonderful, fast-paced, and addicting experience.",[],False,"[{'expectation': 'addictive experience', 'aspect': 'gameplay'}]","[{'aspect': 'gameplay', 'sentiment': 'positive'}]",gameplay,positive
53,548430,Deep Rock Galactic,2020-05-13,0,29.99,13,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['Action'],0,326096,9180,"{'Dwarf': 6314, 'Co-op': 2475, 'PvE': 2102, 'FPS': 1967, 'Procedural Generation': 1827, 'Class-Based': 1766, 'Shooter': 1756, 'Exploration': 1729, 'First-Person': 1670, 'Loot': 1591, 'Sci-fi': 1561, 'Space': 1522, 'Action': 1509, 'Atmospheric': 1444, 'Looter Shooter': 1415, 'Combat': 1394, 'Survival': 1295, 'Horror': 1245, 'Dark': 1219, 'Action Roguelike': 1177}",Spelunking co-operative goodness. It's a winner.,[],False,"[{'expectation': 'operative goodness', 'aspect': 'operation'}]","[{'aspect': 'operation', 'sentiment': 'positive'}]",operation,positive
54,548430,Deep Rock Galactic,2020-05-13,0,29.99,13,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['Action'],0,326096,9180,"{'Dwarf': 6314, 'Co-op': 2475, 'PvE': 2102, 'FPS': 1967, 'Procedural Generation': 1827, 'Class-Based': 1766, 'Shooter': 1756, 'Exploration': 1729, 'First-Person': 1670, 'Loot': 1591, 'Sci-fi': 1561, 'Space': 1522, 'Action': 1509, 'Atmospheric': 1444, 'Looter Shooter': 1415, 'Combat': 1394, 'Survival': 1295, 'Horror': 1245, 'Dark': 1219, 'Action Roguelike': 1177}",Deep Rock Galactic Is A Cooperative Blast,[],False,"[{'expectation': 'cooperative blast', 'aspect': 'community'}]","[{'aspect': 'community', 'sentiment': 'neutral'}]",community,neutral
