index,sentence,model_aspect,gpt_aspect,agreement
122,Vermintide 2's combat and level design are so feverishly fun,gameplay,"""gameplay""",yes
124,"No Blood, No Gore, Just Megatons of Steel!",gameplay,"""gameplay""",no
126,"It's simple, it's different and it's superb fun.",gameplay,gameplay,yes
128,Warhammer 2 is Total War perfected,gameplay,gameplay,yes.
130,"by the end of an hour session in a team with five other journalists, I was hooked",story,community,no.
132,The 'spiritual successor' to Diablo 2 that fans have been pining about for years.,story,"""gameplay""",no
134,"Grim Dawn’s the action RPG I’ve enjoyed most in quite some time, and I’m very keen to try the later chapters as they’re released. More so than Torchlight 2, which was a bit too much of a sugar rush experience for me, and certainly more so than Diablo III",gameplay,gameplay,yes
136,The impression that the team at GSC Game World has created something special with STALKER 2.,graphics,innovation,partially
138,Stalker 2 is a game-of-the-year contender... It looks set to not only do justice to a legendary predecessor but take its franchise to all-new heights.,gameplay,"""franchise""",no
140,Village doesn't pull any punches when it comes to horror,story,story,yes
142,"Each section is fun, intense, and, naturally, frightening in its own way",gameplay,gameplay,yes
144,Crusader Kings 3 is my Game of the Year so far.,gameplay,gameplay,yes
146,Shining Bright Like a Supernova,story,graphics,no
148,Enter the Gungeon's roguelike elements and vast array of crazy weapons keep it entertaining for the long haul.,gameplay,"""gameplay""",yes
150,Fallout Shelter is simple to play and addictive as hell,gameplay,gameplay,yes
152,One of the best takes on the MMO experience I’ve ever seen,gameplay,gameplay,yes
154,"...playing is winning, and there’s something quite satisfying about leading your house to power and glory through whatever means you can, for as long as you can.",gameplay,progression,yes
156,"It's perfectly possible to have made a few too many enemies, anger the Pope and find most of Europe out for your blood. That's really what makes the game so damn fun.",gameplay,gameplay,yes
158,The best zoo simulation so far,gameplay,gameplay,yes
160,This is one of gaming’s great sandboxes,gameplay,gameplay,no
162,Conan Exiles is brilliantly addictive.,gameplay,gameplay,yes
164,"VR finally has its killer app, and it's called Rec Room",gameplay,community,no
166,The gameplay loop is incredibly satisfying,gameplay,gameplay,yes
168,"..it is absorbing, brilliantly written and causes you to question your every instinct and reaction - both in the game and in real life.",story,"""gameplay""",no
170,I could personally see myself losing days of my life to exploring Enshrouded's wilds.,gameplay,exploration,partially
172,You can now enjoy the masterpiece in its best form,value,graphics,no
174,Persona 4 Golden on PC is the best port yet of one of the JRPG genre's previous generation greats,gameplay,"""port"" refers to ""performance"".",no
176,There is more pound-for-pound fun in every hour than anything else.,gameplay,value,partially
178,Like if Mad Max and Twisted Metal had a baby in a sandbox,story,"""innovation""",no.
180,"It’s simple, poignant, and full of heart.",story,"""story""",yes
182,"A big, shiny example of so much we keep asking for in games, but rarely get",graphics,"""value""",partially
184,A joy to play,gameplay,gameplay,yes
186,"Bold, original and brilliant",innovation,innovation,yes
188,A must-play,gameplay,gameplay,yes
190,The most ambitious in the modern trilogy,gameplay,story,partially
192,One of Lara Croft’s best modern adventures,gameplay,"""gameplay""",yes
194,A must-play,gameplay,"""gameplay""",yes
196,The most ambitious in the modern trilogy,gameplay,"""ambitious"" typically refers to aspects such as ""innovation"" or ""progression"".",partial
198,One of Lara Croft’s best modern adventures,gameplay,story,no
200,A must-play,gameplay,gameplay,yes
202,"Katana Zero remains bleak, beautiful, bloody, and brilliant.",story,graphics,no.
204,You won't be able to stop clicking,gameplay,gameplay,yes
206,"This War of Mine shows the horrors of war in a way, that we rarely can experience in a game.",gameplay,story,no
208,"The universe Inside depicts is one of the eeriest, most captivating settings I've ever encountered in a game.",graphics,"""setting"" - story",no
210,Armored Core 6 Fires of Rubicon is nothing short of a masterpiece.,gameplay,"""gameplay""",yes
212,"Supremely balanced, intelligent, and deeply strategic",value,gameplay,no
214,"Manor Lords enters Early Access as one of the most impressive, ambitious city builders yet.",innovation,"""gameplay""",partially
216,AMAZING,value,graphics,no
218,Remarkable,graphics,graphics,yes
220,"Prison Architect chills me to the bone. If played haphazardly it can be a wonderful farce rich with hilarious anecdotes, but played patiently and carefully it’s a horror game, a top-down voyage into the heart of darkness, an eternal raging fire I forever try but can only fail to douse.",story,story,yes
222,"Yakuza’s debut on PC is long overdue, but you couldn’t have asked for a stronger start.",gameplay,"""debut"" - refers to the aspect of ""progression""",no
224,"A game that occupies your thoughts when you're not playing it, and it's thoroughly captivating when you are.",gameplay,gameplay,yes
226,"In almost every way, Hotline Miami 2 is a marked improvement on an already tremendous formula.",performance,gameplay,no
228,Cinematic delights every step of the way,graphics,graphics,yes
230,"Gripping, heartbreaking",story,"""story""",yes
232,"One of Overcooked 2’s biggest overhauls is the throw button, and it’s truly a game-changer.",gameplay,"""gameplay""",yes
234,"Tactical, immersive, technologically advanced, and brave.",innovation,innovation,partially
236,Barotrauma is a bit like FTL with giant sea monsters,gameplay,gameplay,yes
238,… a gaming experience that shouldn’t be missed,gameplay,value,no
240,... a fan's dream come true.,story,value,no
242,Gang Beasts – probably the funniest fighting game ever made,gameplay,gameplay,yes
244,Beneath Broforce's bad puns and bulging biceps lies a brilliant ode to action cinema and retro gaming.,gameplay,story,no
246,Broforce is pretty much what I had in mind when I invented America.,innovation,"""innovation""",no
248,The Walking Dead: The Game demands to be experienced.,gameplay,"""experience"" – value.",partially
250,[...]OneShot surprised me with how quickly it made me care.,gameplay,"""story""",no
252,Blazing a new trail,innovation,innovation,yes
254,"I saw my body slump to the floor, some distance away and then the hammer-bastard was standing over me, attempting to play croquet with what remained of my face.",gameplay,story,no
256,It’s a feel-good game that will surely help someone relieve some stress in these troubled times.,gameplay,value,no
258,One of the best platformers of the year is in … first person?... Ghostrunner nails platforming with all the grace of a cyborg ninja,gameplay,gameplay,yes
260,The game the Alien series has always deserved,gameplay,"""innovation""",partial
262,An absolute triumph in every department,performance,"""performance""",yes
264,"GTFO has, bar none, the most consistent and polished atmosphere I’ve ever encountered in a game.",gameplay,"""atmosphere"" -> ""graphics""",no
266,The ingenuity that went into making this [Tabletop Simulator] is pretty impressive.,graphics,innovation,no
268,A Hat in Time is marvelous. It is so much fun.,story,gameplay,no
270,The ultimate edition of the RPG game,value,value,yes
272,I can’t wait to jump in with friends,gameplay,community,partially
274,"Clever, challenging, and immensely enjoyable... An ore-mining, boss-beating delight",gameplay,"""gameplay""",yes
276,Amazing,story,none,no
278,A Must-Play Revenge Tale,story,story,yes
280,Beautiful and bittersweet.,story,"""story""",no
282,Plentiful selection of weapons and abilities,gameplay,progression,partial
284,Outstanding,performance,value,no
286,A thought-provoking and bittersweet adventure,story,"""story""",yes
288,Control is set in an engrossingly weird paranormal world that I couldn’t help but explore,story,story,yes
290,丁寧に作られた自由で幅の広いゲームシステムは遊びやすさ抜群！,story,"""gameplay""",no.
292,"Incredibly promising. Not only is its premise totally unique, but it sets up an ambitious future with an ever-expanding universe filled with new biomes, threats, lore and more",story,"""innovation""",yes
294,Medieval Dynasty delivers a nice blend of survival sim and economy game with a story layer behind it.,story,"""gameplay""",partial
296,deserves its place in the RPG pantheon,value,value,yes
298,One of the year's best,gameplay,value,partial
300,"If you are looking for a new online CCG, look no further than Kards!",community,gameplay,no
302,...absolutely a must-buy,value,"""value""",yes
304,"...a fantastic RPG made better by this release, and is something that every RPG fan should experience",gameplay,"""experience"" - this sentence suggests that the main implicit aspect discussed is the overall experience of the game, which is closely related to the ""gameplay"" aspect.",yes
306,The game is a masterpiece.,gameplay,"""gameplay""",yes.
308,"Dark, disturbing, yet eerily beautiful, Limbo is a world that deserves to be explored.",story,graphics,no
310,…one of the tightest indie creations I've played in a long time.,gameplay,gameplay,yes
312,"Simply the best rally sim around, building on its predecessor’s already fine foundations",gameplay,gameplay,yes
314,Graveyard Keeper offers up a dark and macabre variation to the town management/farming simulator.,gameplay,gameplay,yes
316,...one Hell of a homecoming.,story,story,yes
318,Essential purchase,value,"""value""",yes
320,more than a worthy alternative to Stardew Valley and one of the first must have games of 2019,gameplay,"""gameplay""",yes
322,A compelling call to the darkness,story,story,yes
324,Your Next Obsession,gameplay,"""innovation""",no
326,"Touching, poignant and will definitely move you",story,story,yes
328,"Forager is a game that gives you joy from the minute you start playing, and from there just continues delivering.",gameplay,gameplay,yes
330,Hack'N'Slash at its best!!,gameplay,gameplay,yes
332,grimly enchanting,story,graphics,no
334,"Rain World’s beautiful, dilapidated grandeur is enveloping",graphics,graphics,yes
336,"It's a triumph of real-time strategy design, and the best the Total War series has ever been",gameplay,gameplay,yes
338,...I am obsessed.,gameplay,progression.,partially
340,Some of the most fun I've had this year...,gameplay,"""fun"" is most closely related to the aspect ""gameplay"" in this sentence.",yes
342,A Pokemon-like that listens to what fans want,gameplay,"""community""",no
344,…this is the Dark Souls sequel PC gamers deserve.,performance,gameplay,partially
346,"Brilliant, beautiful, and absolutely essential",value,graphics,no
348,Wolfenstein 2 is a masterpiece.,story,story,yes
350,Potion Craft has reignited the excitement I used to feel about crafty games,gameplay,gameplay,yes
352,Nioh 2's Combat is Phenomenal,gameplay,gameplay,yes
354,We totally asked for this.,value,story,no
356,"Mankind Divided is a smart, handsome and weighty addition to the stealth-action genre",gameplay,gameplay,partially
358,You'll be playing it for months.,gameplay,progression,yes
360,"A triumph of a game, and arguably the best isometric RPG since Planescape Torment.",gameplay,story,partially
362,The dark interpretations of these fairy tales are gripping and Telltale never forgets that hook.,story,story,yes
364,… immediately stakes its own claim as one of the most exciting adventure games of the year.,gameplay,gameplay,yes
366,Steam-style survival with traces of No Man’s Sky? Interesting!,story,"""innovation""",no
368,The Talos Principle is an absolute joy to play.,gameplay,gameplay,yes
370,It weaves gripping gameplay and storytelling with an off-beat cast in a way that's absolutely to die for.,story,story,yes
372,"It's witty, it's bold, it's gorgeous, and it's immaculately put together.",graphics,graphics,no
374,"Generation Zero has grown over the years to offer the best stealth survival experience that pits you against an island filled with hostile machines. The tension you feel playing solo is second to none, and going in with others still feels like you’re facing an insurmountable enemy.",gameplay,gameplay,yes.
376,Civilization 7 is a blast to play,gameplay,gameplay,yes
378,Sid Meier's Civilization 7 has the series in its best shape yet,performance,progression,no
380,"Why can't I stop playing it? (...) It's total, hilarious chaos.",gameplay,"""gameplay""",yes
382,Halls of Torment assembles the Frankenstein parts of Diablo and Vampire Survivors into something brilliantly all its own.,story,innovation,partial
384,"deep, endlessly fun an immensely inviting",gameplay,gameplay,yes
386,"The game’s vision is intoxicating, and its execution is inspired.",graphics,innovation,no
388,a must-play,gameplay,gameplay,yes
390,Valhalla is the ultimate Assassin's Creed experience,gameplay,gameplay,yes
392,Origin Story Of Wildcat - Evan Fong,story,"""story""",yes
394,"Seriously folks I'm not lying, I love this game !!",gameplay,"""gameplay""",yes
396,"[...] Once you’re hooked, it feels vast, enveloping, alive.",audio,"""immersion""",yes
398,A hallmark of excellence.,innovation,value,no
400,"The creator of Papers, Please is back with another masterpiece",story,"""innovation""",partially
402,"Kunos Simulazioni brings the GT Series in our home, and you don't need a superlicence to drive",performance,performance,no
404,"Life is hard. Sometimes games are hard, and that just reminds me that life is hard, and then everything feels too damn hard. Not early access city-builder Dorfromantik, though. That game is just the right amount of chill.",gameplay,gameplay,partially
406,"Dorfromantik activates what I think of as my meditative lizard brain, thanks to the tiny thrill of getting those hexes to fit together. It’s well-suited to casual engagement, and challenging enough for the score obsessed (myself included) to play it over and over.",gameplay,gameplay,yes
408,2015's Most Insane Multiplayer Game,gameplay,"""gameplay""",yes
410,"Duck Game was, without a doubt, the weirdest game I played this year. And suffice it to say, it's one that stuck with me",gameplay,gameplay,yes
412,Wandering Sword is an excellent debut game and has all the hallmarks of a classic RPG. Do not overlook this superb indie gem!,gameplay,gameplay,yes
414,Crazy in all the right ways.,value,innovation,no
416,...an unrelenting slaughterhouse.,story,gameplay,no
418,MORE INTENSE THAN EVER,performance,intensity,yes
420,"While it doesn't look or feel like it at first, there's a lot going on here strategy-wise that ends up making the game a time sink if you're not careful.",gameplay,"""progression""",no
422,This is how you port a classic,gameplay,"""porting"" in the sentence can be associated with the aspect ""performance.""",no
424,"If you haven’t picked Bayonetta up yet, there is no reason not to do so now on PC",gameplay,"""value""",no
426,The gameplay is addictive and incredibly well done,gameplay,"""gameplay""",yes
428,"Yes, you should absolutely download and play this game.",gameplay,"""value""",no
430,a dream game for Star Wars fans.,gameplay,"""gameplay""",yes
432,...one hell of an adrenaline-filled ride...,gameplay,gameplay,yes
434,this game has ruined my life but I’m too addicted to quit,gameplay,"""addiction"" - progression",no
436,"The more you put into Shadow Warrior 2's combat, the more you get back.",gameplay,gameplay,yes
438,What makes Cells to Singularity stand out is the fact that it tells the journey of the evolution of mankind from the very beginning.,story,"""story""",yes
440,everything Resident Evil fans know and love about the series is here,story,story,yes
442,A Great Example Of Early Access Development Benefitting A Game And Its Players,innovation,progression,partial
444,An extraordinarily well-crafted piece of software and one of the most significant releases in flight simming history,performance,innovation,partially
446,Mortal Kombat 1 is a masterclass in gaming achievement.,gameplay,gameplay,yes
448,"UNIQUE, FUN, AND WILDLY IMAGINATIVE",graphics,innovation,no
450,Kingdom is a fantastic example of what can be accomplished with minimalism.,graphics,gameplay,no
452,One Of The Best Life Simulation Games In Years,gameplay,gameplay,yes
454,Now we can add Battle Brothers to the list of Good Mercenary Games.,gameplay,"""gameplay""",yes
456,Dead Island and Dead Island Riptide have never looked so good.,graphics,"""graphics""",yes
458,a seriously impressive spectacle,graphics,graphics,yes
460,Gas Station Simulator incorporates all the best elements from your multiple memorable times at gas stations.,gameplay,"""experience""",partially
462,You've never seen anything like this before.,story,innovation,no
464,"Competent, clever, beautiful",value,graphics,no
466,The Best MMO I've played in Years.,gameplay,gameplay,yes
468,Absolutely gorgeous and a joy to behold.,graphics,graphics,yes
470,Triumphant,story,"""gameplay""",no
472,A psychological horror masterpiece,story,story,yes
474,"Polished and refined, this is the best and most satisfying sniping that Rebellion has ever crafted. Sniper Elite 3 is the game I always wanted from this franchise",gameplay,gameplay,yes
476,"Meant to be played over and over again... Building on the excellent Mini Metro that came before it, Mini Motorways is a great evolution of Dinosaur Polo Club's minimalist transport sim.",gameplay,"""gameplay""",yes
478,Excellent adaptation of the Warhammer universe,gameplay,story,no
480,DUSK is brilliant,gameplay,graphics,no
482,DUSK is f**king great and you’re better off playing that than arguing on forums about things.,gameplay,gameplay,yes
484,…one of the largest Trek-things around in terms of scale.,story,scale,no
486,A neat standalone project,innovation,"""project"" seems to relate most closely to the ""innovation"" aspect.",yes
488,A whole new dimension of strategy,innovation,"""strategy"" corresponds to the aspect ""gameplay.""",partially
490,Just Shapes and Beats is a mesmerizing rhythm game with an exceedingly simple idea.,gameplay,audio,yes
492,That was fascinating! That was REALLY fascinating! That was crazy... I did not expect that going into it!,story,story,yes
494,Workers &amp; Resources fills the gap left by Cities: Skylines 2.,gameplay,"""progression""",yes
496,"Neon Abyss is undoubtedly one of the best Rogue-likes in recent years; gorgeous, meticulously designed and a hell of a lot of fun to play",gameplay,graphics,partially
498,An instant classic.,innovation,"""value""",no.
500,I am completely addicted.,gameplay,progression,yes
502,X4 - The German Star Citizen,gameplay,graphics,no
504,Fans of ambitious space simulations will encounter an almost unrivalled space opera.,gameplay,"""story""",no.
506,"FAR: Lone Sails is a transfixing, lovely experience ... It will likely stick with you for a long time.",story,"""experience"" corresponds most closely to the ""gameplay"" aspect.",no.
508,"Incredible, refined version",value,graphics,no
510,TerraTech is digital Lego Technic with guns,gameplay,gameplay,yes
512,Darkwood is a promising top-down horror roguelike that has cult classic written all over it.,innovation,gameplay,partially
514,A stellar adventure with enough moments of surprise and excitement to rival even its own source material.,story,"""story""",yes
516,The gameplay is extremely addictive and is akin to a puzzle game more so than anything.,gameplay,gameplay,yes
518,Monster Train might be the best deckbuilder since Slay The Spire,gameplay,gameplay,yes
520,"Monster Train is a pleasant, mind-blowingly addictive exercise that’s well worth your time, especially if you’re a fan of roguelikes, card games, and deck-building fare",gameplay,gameplay,yes
522,the closest thing to 'The Hunger Games' we've played yet,gameplay,story,no
524,One of the finest collections of this generation.,value,"""value""",no
526,Animal Well redefines the Metroidvania genre,story,innovation,no
528,"I've been thinking about this game a lot for the past 36 hours. It demanded I think about it, at first only superficially, but later more substantively. I mulled over a lot of questions when I should have been sleeping. I continued thinking right when I woke up. I think I dreamed about it in between.",gameplay,"""gameplay""",yes
530,"If, as Roger Ebert said, movies are a machine that generates empathy, then Spelunky 2, even more so than the original, is a machine for generating surprise. And, inevitably, its close cousin: delight.",innovation,gameplay,no
532,Superb,story,value,no
534,One of the best shooters to come out in recent years.,performance,gameplay,no
536,An intense and exhilarating survival horror experience,gameplay,gameplay,yes
538,A wish come true,story,value,no
540,"One of the best city-building simulators, ever",gameplay,gameplay,yes
542,There's something strangely compelling about it,story,"""compelling"" can be associated with the aspect of ""gameplay"".",partial
544,This is an unexpectedly well put together thing with plenty to do,innovation,value,partially
546,The Ascent Makes Good On Cyberpunk 2077's Promise,gameplay,"""promise"" aspect.   word: ""promise"".",no
548,"The New X-Plane Flight Sim Is So Ridiculously Detailed, It Even Has Catering Trucks",graphics,graphics,yes
550,"Xplane11 è veramente incredibile, ed è sicuramente il futuro dei simulatori di volo.",gameplay,performance,no
552,Day of Infamy does justice to the classic WWII mod that inspired it.,gameplay,"""mod"" the game is inspired by is the main implicit aspect in the sentence, which falls under the aspect of ""community.""",no.
554,Blacklist gets stealth right.,innovation,gameplay,no
556,Blacklist serves as an anthology of all of Splinter Cell's best ideas.,innovation,"""innovation""",yes
558,"I absolutely love this game. But it's not just me who loves it, my whole family loves this game. My kids walked in my office while I was playing this, and both asked if they could play. Soon after, my wife walked in and asked if she could play. And all of us had an absolute blast with it.",gameplay,value,partial
560,A terrific game,gameplay,gameplay,yes
562,Sniper Elite 5 has blown me away,gameplay,gameplay,yes
564,"By setting its mundane stall in the days after events that would be taken oh-so-seriously in another game, Viscera Cleanup Detail manages to be morbidly hilarious without ever telling a single joke.",gameplay,"""story""",no.
566,... A memorable experience that may last me a lifetime.,story,value,partially
568,"My new beau is ENDLESS™ Space 2, and it’s got its hooks in me deep.",gameplay,gameplay,yes
570,"A new masterpiece of the genre, as simple as that.",story,story,yes
572,I often get feelings while playing this game that I haven’t experienced in quite some time.,gameplay,"feelings: ""gameplay""",yes
574,Death’s Door is beyond exceptional and has solidified itself on my games-of-the-year list.,gameplay,gameplay,yes
576,...bewitching and enticing,graphics,graphics,yes
578,"If you want a tiny, varied Deus Ex that will make you laugh, this is i",graphics,gameplay,no
580,"Action/RPG that succeeds in story, combat, leveling, and the bond formed in a family.",gameplay,story,no
582,"I've only got two evenings clocked so far since its early access launch this week, but I already suspect that Mistria will wind up being my favorite farm life sim of this year.",gameplay,gameplay,yes
584,Saying that it stands head-and-shoulders above all of the scant competition for grand-strategy kingship almost goes without saying.,value,"""value""",yes
586,The idea itself owes a lot to the likes of Uplink. But it’s the execution that makes Hacknet great,innovation,execution,no
588,"Hero shooters need a little weird injected into them, and FragPunk is here to do that.",gameplay,innovation,partially
590,"Surviving Mars from Haemimont Games is a true triumph, and represents a game I've been yearning for for years.",gameplay,"""gameplay""",yes
592,Nothing else marries survival and city-building so deftly,gameplay,"""gameplay""",yes
594,Frostpunk 2 is the most engrossing city builder I've played since the first.,gameplay,gameplay,yes
596,It Might Be Exactly What the FPS Genre Needs,gameplay,"""innovation""",no
598,I can’t think of a first-person shooter I’ve enjoyed more this year.,gameplay,gameplay,yes
600,A Worthy New IP,value,innovation.,no
602,"Block N Load [is not only] a lot of fun, but is even addictive and offers me a welcome alternative to League of Legends.",gameplay,gameplay,yes
604,"If your life's been missing some excitement, [Descenders] might just be what you need",story,gameplay,no
606,One of the finest adventures around,story,gameplay,no
608,"That’s the true victory of Moonlighter. Every piece of the puzzle is simple and welcoming, but the whole is more than the sum of its parts.",story,"""gameplay""",no
610,"Moonlighter is going to be a game you’ll pick up, play, and instantly want to tell your friends all about.",gameplay,gameplay,yes
612,"I find I just can’t argue with the reviews it’s getting. It’s ridiculous, and it deserves that 98% positivity",value,"""reviews"" - value",yes
614,A silly idea but done extremely well,innovation,"""execution""",no
616,It’s a Russian MMO heading to the west,gameplay,innovation,partially
618,"For the price the developers are asking for this game, it’s an absolute steal.",value,"""value""",yes
620,Completely brilliant,story,innovation,partially
622,Going Medieval will be huge,story,innovation,no
624,"Suddenly, after what only felt like a few minutes, I looked up at the clock and realized I had spent hours building, managing, and tinkering with my medieval settlement. And I can’t wait to get back to it.",gameplay,gameplay,yes
626,A fun and empowering experience.,gameplay,experience,yes
628,"Escape Simulator is a puzzle fan’s dream! If you like escape rooms and solving puzzles, then this is a game that needs to be in your library!",gameplay,gameplay,yes
630,"Somewhere during the journey you realize you’ve gained skills, your perception’s changed, and there’s a science to the way you navigate. It’s no longer about just making it through, but making it through well.",story,"""progression""",no
632,"I must admit, the trailer is oddly compelling.",graphics,graphics,yes
634,Trains shouldn't do this sort of thing. They just shouldn't.,value,performance,no
636,"As for me, I think I'm going to go back to Escapists for quite a while whenever I need to brush up on my puzzle skills simply because of how open-ended it is",gameplay,gameplay,yes
638,"It’s a self-aware indie gem with an anarchic sensibility, where anything can happen.",gameplay,story,no
640,"This is a game that had me both laugh out loud, and exclaim to my monitor how smart it was being.",gameplay,gameplay,yes
642,This Engrossing Indie Action-RPG is a Knockout,gameplay,gameplay,yes
644,An absolutely excellent RTS about controlling an ant colony.,performance,"""gameplay""",no
646,"It is something special, something you’ll want to play again and again and is a game that will undoubtedly be remembered as one of the genre’s best.",gameplay,gameplay,yes
648,Stellar,graphics,graphics,yes
650,"Rogue Legacy 2 isn’t just another can’t-miss indie hit, it’s the best work yet from Cellar Door Games.",performance,gameplay,no
652,A must-play for point-and-click fans.,gameplay,"""gameplay""",yes
654,"Shovel Knight is one of the best platformers I've ever played, period.",gameplay,gameplay,yes
656,Will keep you coming back for more. And more.,story,value,no
658,[C]asual gamers should eat this up.,gameplay,gameplay,yes
660,"Surgeon Simulator 2013 is hardly a simulation, but it makes medical malpractice an absolute delight.",gameplay,gameplay,yes
662,"Simply put, the experience is wonderful.",value,"""value""",yes
664,It's like Subnautica mixed with Prey ... I like that game a lot!,gameplay,gameplay,yes
666,the game Warhammer 40k fans have been waiting for,gameplay,"""gameplay""",yes
668,Ixion is a properly great blend of management sim and sci-fi storytelling,gameplay,"""story""",no
670,"Game of Thrones Meets Vikings Meets Disney. The Banner Saga is blindingly lovely and arguably just as intriguing to play. Built atop a world that all but demands the attention of travel documentaries, it's epic in the literal sense of the word.",story,graphics,partially
672,I never expected to see myself — or such a strong reflection of myself and my own life — in a video game.,gameplay,story,no
674,"Even as the developer told me what the game was doing to mess with my brain while I was playing it, it still succeeded in messing with my brain.",gameplay,gameplay,yes
676,Every aspect of Antichamber is made to get players out of their comfort zone.,gameplay,gameplay,yes
678,"Verdict: Buy, buy, buy. A must-have video game.",gameplay,"""value""",no
680,Mountain breaks the mold of video games.,gameplay,innovation,no
